,precision,recall,f1-score,support
Ibizan_hound,0.96875,0.8857142857142857,0.9253731343283582,35.0
Boston_bull,0.9069767441860465,0.9512195121951219,0.9285714285714286,41.0
bloodhound,0.9166666666666666,0.9428571428571428,0.9295774647887324,35.0
otterhound,0.9642857142857143,0.9,0.9310344827586207,30.0
Blenheim_spaniel,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
Irish_terrier,0.9714285714285714,0.8947368421052632,0.9315068493150684,38.0
Sussex_spaniel,1.0,0.875,0.9333333333333333,32.0
clumber,0.875,1.0,0.9333333333333333,28.0
Rottweiler,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
Border_terrier,0.9117647058823529,0.96875,0.9393939393939394,32.0
papillon,0.9,1.0,0.9473684210526315,27.0
Irish_setter,0.967741935483871,0.9375,0.9523809523809523,32.0
Bernese_mountain_dog,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
flat-coated_retriever,0.9090909090909091,1.0,0.9523809523809523,20.0
Sealyham_terrier,1.0,0.9130434782608695,0.9545454545454546,46.0
komondor,0.9714285714285714,0.9444444444444444,0.9577464788732394,36.0
Afghan_hound,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0
chow,0.9772727272727273,0.9555555555555556,0.9662921348314607,45.0
keeshond,1.0,0.9393939393939394,0.96875,33.0
Leonberg,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Saint_Bernard,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
Gordon_setter,0.972972972972973,0.972972972972973,0.972972972972973,37.0
Bedlington_terrier,1.0,0.9565217391304348,0.9777777777777777,46.0
affenpinscher,0.96,1.0,0.9795918367346939,24.0
African_hunting_dog,1.0,0.9696969696969697,0.9846153846153847,33.0
Mexican_hairless,1.0,1.0,1.0,27.0
